Unnamed: 0,product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,promo_discount_type_2,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id,storetype_id,store_size,city_id
17445200,P0204,S0028,2019-09-21,0.0,0.0,18.0,12.9,PR05,low,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17465392,P0204,S0028,2019-09-22,0.0,0.0,18.0,12.9,PR05,low,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17485625,P0204,S0028,2019-09-23,0.0,0.0,18.0,12.9,PR05,low,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17505967,P0204,S0028,2019-09-24,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17526295,P0204,S0028,2019-09-25,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17546617,P0204,S0028,2019-09-26,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17566906,P0204,S0028,2019-09-27,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17587149,P0204,S0028,2019-09-28,0.0,0.0,18.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17607221,P0204,S0028,2019-09-29,0.0,0.0,18.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17627140,P0204,S0028,2019-09-30,0.0,0.0,18.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17647116,P0204,S0028,2019-10-01,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17667088,P0204,S0028,2019-10-02,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17687147,P0204,S0028,2019-10-03,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17707332,P0204,S0028,2019-10-04,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17727546,P0204,S0028,2019-10-05,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17747630,P0204,S0028,2019-10-06,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17767651,P0204,S0028,2019-10-07,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17787793,P0204,S0028,2019-10-08,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17807941,P0204,S0028,2019-10-09,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17828130,P0204,S0028,2019-10-10,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17848324,P0204,S0028,2019-10-11,0.0,0.0,18.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17868557,P0204,S0028,2019-10-12,0.0,0.0,18.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17888724,P0204,S0028,2019-10-13,1.0,7.65,17.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17908798,P0204,S0028,2019-10-14,0.0,0.0,17.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17928884,P0204,S0028,2019-10-15,0.0,0.0,17.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17948982,P0204,S0028,2019-10-16,0.0,0.0,17.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17969099,P0204,S0028,2019-10-17,0.0,0.0,17.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
17989189,P0204,S0028,2019-10-18,0.0,0.0,17.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18009338,P0204,S0028,2019-10-19,0.0,0.0,17.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18029514,P0204,S0028,2019-10-20,0.0,0.0,17.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18049510,P0204,S0028,2019-10-21,0.0,0.0,17.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18069590,P0204,S0028,2019-10-22,1.0,10.93,16.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18089681,P0204,S0028,2019-10-23,0.0,0.0,16.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18109773,P0204,S0028,2019-10-24,0.0,0.0,16.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18129869,P0204,S0028,2019-10-25,0.0,0.0,16.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18149985,P0204,S0028,2019-10-26,0.0,0.0,16.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18169983,P0204,S0028,2019-10-27,0.0,0.0,16.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18189865,P0204,S0028,2019-10-28,0.0,0.0,16.0,12.9,PR05,moderate,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18209801,P0204,S0028,2019-10-29,0.0,0.0,16.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18229707,P0204,S0028,2019-10-30,0.0,0.0,16.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18249622,P0204,S0028,2019-10-31,0.0,0.0,16.0,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18269483,P0204,S0028,2019-11-01,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18289345,P0204,S0028,2019-11-02,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18309166,P0204,S0028,2019-11-03,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18328964,P0204,S0028,2019-11-04,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18348898,P0204,S0028,2019-11-05,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18368952,P0204,S0028,2019-11-06,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18389101,P0204,S0028,2019-11-07,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18409375,P0204,S0028,2019-11-08,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18429675,P0204,S0028,2019-11-09,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18449891,P0204,S0028,2019-11-10,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
18470056,P0204,S0028,2019-11-11,,,,12.9,PR14,,PR03,,,,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,ST01,86,C036
