Unnamed: 0,product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,promo_discount_type_2,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id,storetype_id,store_size,city_id
2743147,P0114,S0142,2017-07-18,0.0,0.0,26.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2758220,P0114,S0142,2017-07-19,0.0,0.0,26.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2773274,P0114,S0142,2017-07-20,6.0,2.5,20.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2788338,P0114,S0142,2017-07-21,2.0,0.83,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2803401,P0114,S0142,2017-07-22,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2818406,P0114,S0142,2017-07-23,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2833381,P0114,S0142,2017-07-24,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2848405,P0114,S0142,2017-07-25,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2863422,P0114,S0142,2017-07-26,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2878458,P0114,S0142,2017-07-27,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2893478,P0114,S0142,2017-07-28,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2908508,P0114,S0142,2017-07-29,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2923542,P0114,S0142,2017-07-30,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2938626,P0114,S0142,2017-07-31,0.0,0.0,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2954133,P0114,S0142,2017-08-01,2.0,0.83,18.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
2969626,P0114,S0142,2017-08-02,0.0,0.0,16.0,0.45,PR14,,PR03,,,,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,ST04,31,C006
